year,sector_key,level,total_emp,resident_emp,nonresident_emp,nonresident_share_pct,gdp_million_sgd,gdp_per_worker_thousand_sgd,data_source
2024,accomm_food,2,270.7,147.5,123.2,45.51,13076.2,48.31,direct
2024,admin_support,2,250.7,124.0,126.7,50.54,17620.6,70.29,direct
2024,community_social,2,967.9,,,,68774.9,71.06,direct
2024,info_comms,2,180.3,139.1,41.2,22.85,42839.0,237.6,direct
2024,mfg_electronics,2,78.3,,,,,,direct
2024,mfg_food_bev,2,64.3,,,,,,direct
2024,mfg_metal_machinery,2,91.4,,,,,,direct
2024,mfg_other,2,58.7,,,,,,direct
2024,mfg_paper_rubber,2,24.6,,,,,,direct
2024,mfg_petrochem,2,79.2,,,,,,direct
2024,mfg_transport_equip,2,89.6,,,,,,direct
2024,professional,2,288.2,197.1,91.1,31.61,39397.6,136.7,direct
2024,real_estate,2,82.4,56.3,26.1,31.67,20571.1,249.65,direct
2024,transport_storage,2,266.3,197.9,68.4,25.69,77696.8,291.76,direct
2024,wholesale_retail,2,455.5,336.0,119.5,26.23,152208.2,334.16,direct
2025,construction,1,566.8,103.6,463.2,81.72,29985.5,52.9,direct
2025,manufacturing,1,494.4,210.2,284.2,57.48,137611.7,278.34,direct
2025,others,1,26.5,19.5,7.0,26.42,,,direct
2025,services,1,3029.2,2043.2,986.0,32.55,535527.2,176.79,direct
2025,accomm_food,2,271.0,145.8,125.2,46.2,13274.3,48.98,direct
2025,admin_support,2,255.5,127.8,127.7,49.98,18449.9,72.21,direct
2025,community_social,2,1002.1,,,,72962.0,72.81,direct
2025,info_comms,2,174.5,129.4,45.1,25.85,47050.1,269.63,direct
2025,mfg_electronics,2,79.4,,,,,,direct
2025,mfg_food_bev,2,68.0,,,,,,direct
2025,mfg_metal_machinery,2,91.4,,,,,,direct
2025,mfg_other,2,57.6,,,,,,direct
2025,mfg_paper_rubber,2,24.1,,,,,,direct
2025,mfg_petrochem,2,81.4,,,,,,direct
2025,mfg_transport_equip,2,92.6,,,,,,direct
2025,professional,2,285.7,192.6,93.1,32.59,41806.5,146.33,direct
2025,real_estate,2,78.5,58.8,19.7,25.1,22208.6,282.91,direct
2025,transport_storage,2,269.8,209.0,60.8,22.54,60117.1,222.82,direct
2025,wholesale_retail,2,450.8,336.7,114.1,25.31,155482.7,344.9,direct
